!EXCLAMATION-POINT	ˌɛkskləˈmeɪʃənˌpɔɪnt
"CLOSE-QUOTE	ˈkloʊzˈkwoʊt
"DOUBLE-QUOTE	ˈdʌbəlˈkwoʊt
ABBA	ˈæbə
ABBADO	əˈbɑːdoʊ
ABBAS	əˈbɑːs
ABBASI	ɑːˈbɑːsi
ABBATE	ˈɑːbeɪt
ABBATIELLO	ɑːbɑːtiːˈɛloʊ
ABBE	ˈæbi, æˈbeɪ
ABBENHAUS	ˈæbənˌhaʊs
ABBETT	əˈbɛt
ABBEVILLE	ˈæbvɪl
ABBEY	ˈæbi
ABBEY'S	ˈæbiːz
ABBIE	ˈæbi
ABBITT	ˈæbɪt
ABBOT	ˈæbət
ABBOTSTOWN	ˈæbətˈstaʊn
ABBOTT	ˈæbət
ABBOTT'S	ˈæbəts
ABBOTTSTOWN	ˈæbətˈstaʊn
ABBOUD	əˈbuːd, əˈbaʊd
ABBREVIATE	əˈbriːviːˌeɪt
ABBREVIATED	əˈbriːviːˌeɪtɪd
ABBREVIATES	əˈbriːviːˌeɪts
ABBREVIATING	əˈbriːviːˌeɪtɪŋ
ABBREVIATION	əˌbriːviːˈeɪʃən
ABBREVIATIONS	əˌbriːviːˈeɪʃənz
ABBRUZZESE	ɑːbruːtˈseɪzi
ABBS	ˈæbz
ABBY	ˈæbi
ABC	ˈeɪˌbiːˌsiː
ABC'S	ˈeɪˌbiːˌsiːz
ABCO	ˈæbkoʊ
ABCOTEK	ˈæbkoʊˌtɛk
ABCS	ˈeɪˌbiːˌsiːz
ABDALLA	ˌæbˈdælə
ABDALLAH	ˌæbˈdælə
ABDEL	ˈæbˌdɛl
ABDELLA	ˌæbˈdɛlə
ABDICATE	ˈæbdəˌkeɪt
ABDICATED	ˈæbdəˌkeɪtəd
ABDICATES	ˈæbdəˌkeɪts
ABDICATING	ˈæbdɪˌkeɪtɪŋ
ABDICATION	ˌæbdɪˈkeɪʃən
ABDNOR	ˈæbdnɝ
ABDO	ˈæbdoʊ
ABDOLLAH	ˌæbˈdɑːlə
ABDOMEN	æbˈdoʊmən, ˈæbdəmən
ABDOMINAL	æbˈdɑːmənəl, əbˈdɑːmənəl
ABDUCT	æbˈdʌkt
ABDUCTED	æbˈdʌktɪd, əbˈdʌktɪd
ABDUCTEE	æbˌdəkˈtiː
ABDUCTEES	æbˌdəkˈtiːz
ABDUCTING	æbˈdʌktɪŋ, əbˈdʌktɪŋ
ABDUCTION	æbˈdʌkʃən, əbˈdʌkʃən
ABDUCTIONS	æbˈdʌkʃənz, əbˈdʌkʃənz
ABDUCTOR	æbˈdʌktɝ, əbˈdʌktɝ
ABDUCTORS	æbˈdʌktɝz, əbˈdʌktɝz
ABDUCTS	æbˈdʌkts
ABDUL	æbˈduːl
ABDULAZIZ	æbˌduːləˈziːz
ABDULLA	ɑːbˈduːlə
ABDULLAH	ˌæbˈdʌlə
ABE	ˈeɪb
ABED	əˈbɛd
ABEDI	əˈbɛdi
ABEE	əˈbiː
ABEL	ˈeɪbəl
ABELA	ɑːˈbɛlə
ABELARD	ˈæbɪlɝd
ABELE	əˈbɛl
ABELES	əˈbɛlz, ˈeɪbəˌliːz
ABELL	ˈeɪbəl
ABELLA	əˈbɛlə
ABELN	ˈæbɪln
ABELOW	ˈæbəloʊ
ABELS	ˈeɪbəlz
ABELSON	ˈæbɪlsən
ABEND	ˈæbɛnd, əˈbɛnd
ABENDROTH	ˈæbɪndrɔθ
ABER	ˈeɪbɝ
ABERCROMBIE	ˌæbɝˈkrɑːmbi
ABERDEEN	ˈæbɝˌdiːn
ABERFORD	ˈeɪbɝfɝd
ABERG	ˈæbɝg
ABERLE	ˈæbɝəl, ˈæbɝl
ABERMIN	ˈæbɝmɪn
ABERNATHY	ˈæbɝˌnæθi
ABERNETHY	ˈæbɝˌnɛθi
ABERRANT	æˈbɛrənt
ABERRATION	ˌæbɝˈeɪʃən
ABERRATIONAL	ˌæbɝˈeɪʃənəl
ABERRATIONS	ˌæbɝˈeɪʃənz
ABERT	ˈæbɝt
ABET	əˈbɛt
ABETTED	əˈbɛtɪd
ABETTING	əˈbɛtɪŋ
ABEX	ˈeɪbɛks
ABEYANCE	əˈbeɪəns
ABEYTA	ɑːˈbeɪtə
ABHOR	æbˈhɔr
ABHORRED	əbˈhɔrd
ABHORRENCE	əbˈhɔrəns
ABHORRENT	æbˈhɔrənt
ABHORS	əbˈhɔrz
ABIAM	ˈeɪbiːəm
ABIAM'S	ˈeɪbiːəmz
ABID	ˈeɪbɪd
ABIDE	əˈbaɪd
ABIDED	əˈbaɪdɪd
ABIDES	əˈbaɪdz
ABIDING	əˈbaɪdɪŋ
ABIDJAN	æbɪˈdʒɑːn
ABIE	ˈæbi
ABIGAIL	ˈæbəˌgeɪl
ABILA	ɑːˈbiːlə
ABILENE	ˈæbɪˌliːn
ABILITIES	əˈbɪləˌtiːz
ABILITY	əˈbɪləˌtiː
ABIMAEL	ˌæbɪˈmeɪl
ABIMAELS	ˌæbɪˈmeɪlz
ABINGDON	ˈæbɪŋdən
ABINGTON	ˈæbɪŋtən
ABIO	ˈɑːbiːoʊ
ABIOLA	ˌɑːbiːˈoʊlə
ABIOLA'S	ˌɑːbiːˈoʊləz
ABIOMED	eɪˈbiːəmɛd
ABIQUIU	əˈbɪkjuː
ABITIBI	ˌæbɪˈtiːbi
ABITZ	ˈæbɪts
ABJECT	ˈæbdʒɛkt
ABKHAZIA	æbˈkɑːzjə, æbˈkæzjə
ABKHAZIAN	æbˈkɑːziːən, æbˈkæziːən, æbˈkɑːzjən, æbˈkæzjən
ABKHAZIANS	æbˈkɑːziːənz, æbˈkæziːənz
ABLAZE	əˈbleɪz
ABLE	ˈeɪbəl
ABLE-BODIED	ˈeɪbəlˈbɑːdiːd
ABLED	ˈeɪbəld
ABLER	ˈeɪbəlɝ, ˈeɪblɝ
ABLES	ˈeɪbəlz
ABLEST	ˈeɪbəlst, ˈeɪbləst
ABLOOM	əˈbluːm
ABLY	ˈeɪbli
ABNEGATION	ˌæbnɛˈgeɪʃən
ABNER	ˈæbnɝ
ABNEY	ˈæbni
ABNORMAL	æbˈnɔrməl
ABNORMALITIES	ˌæbnɔrˈmælətiːz
ABNORMALITY	ˌæbnɔrˈmæləti
ABNORMALLY	æbˈnɔrməli
ABO	ˈɑːboʊ
ABO'S	ˈɑːboʊz
ABOARD	əˈbɔrd
ABODE	əˈboʊd
ABOHALIMA	æbəhəˈliːmə
ABOLISH	əˈbɑːlɪʃ
ABOLISHED	əˈbɑːlɪʃt
ABOLISHES	əˈbɑːlɪʃɪz
ABOLISHING	əˈbɑːlɪʃɪŋ
ABOLITION	ˌæbəˈlɪʃən
ABOLITIONISM	ˌæbəˈlɪʃəˌnɪzəm
ABOLITIONIST	ˌæbəˈlɪʃənəst
ABOLITIONISTS	ˌæbəˈlɪʃənəsts, ˌæbəˈlɪʃənəs
ABOMINABLE	əˈbɑːmənəbəl
ABOMINATION	əˌbɑːməˈneɪʃən
ABOMINATIONS	əˌbɑːməˈneɪʃənz
ABOOD	əˈbuːd
ABOODI	əˈbuːdi
ABOR	əˈbɔr
ABORIGINAL	ˌæbɝˈɪdʒənəl
ABORIGINE	ˌæbɝˈɪdʒəni
ABORIGINES	ˌæbɝˈɪdʒəniːz
ABORN	əˈbɔrn
ABORT	əˈbɔrt
ABORTED	əˈbɔrtɪd
ABORTIFACIENT	əˌbɔrtəˈfeɪʃənt
ABORTIFACIENTS	əˌbɔrtəˈfeɪʃənts
ABORTING	əˈbɔrtɪŋ
ABORTION	əˈbɔrʃən
ABORTIONIST	əˈbɔrʃənɪst
ABORTIONISTS	əˈbɔrʃənɪsts, əˈbɔrʃənɪs
ABORTIONS	əˈbɔrʃənz
ABORTIVE	əˈbɔrtɪv
ABORTS	əˈbɔrts
ABOTT	əˈbɑːt
ABOU	əˈbuː
ABOUD	ɑːˈbuːd
ABOUHALIMA	ˌɑːbuːhɑːˈliːmə
ABOUHALIMA'S	ˌɑːbuːhɑːˈliːməz
ABOUND	əˈbaʊnd
ABOUNDED	əˈbaʊndɪd
ABOUNDING	əˈbaʊndɪŋ
ABOUNDS	əˈbaʊndz
ABOUT	əˈbaʊt
ABOUT'S	əˈbaʊts
ABOVE	əˈbʌv
ABOVE'S	əˈbʌvz
ABOVEBOARD	əˈbʌvˌbɔrd
ABPLANALP	ˈæbplənælp
ABRA	ˈɑːbrə
ABRACADABRA	ˌæbrəkəˈdæbrə
ABRAHAM	ˈeɪbrəˌhæm
ABRAHAMIAN	ˌæbrəˈheɪmiːən
ABRAHAMS	ˈeɪbrəˌhæmz
ABRAHAMSEN	æbrəˈhæmsən
ABRAHAMSON	əˈbræhəmsən
ABRAM	əˈbræm
ABRAM'S	ˈeɪbrəmz
ABRAMCZYK	ˈɑːbrəmtʃɪk
ABRAMO	ɑːˈbrɑːmoʊ
ABRAMOVITZ	əˈbrɑːməvɪts
ABRAMOWICZ	əˈbrɑːməvɪtʃ
ABRAMOWITZ	əˈbrɑːməwɪts
ABRAMS	ˈeɪbrəmz
ABRAMS'S	ˈeɪbrəmzɪz
ABRAMSON	ˈeɪbrəmsən
ABRASION	əˈbreɪʒən
ABRASIONS	əˈbreɪʒənz
ABRASIVE	əˈbreɪsɪv
ABRASIVES	əˈbreɪsɪvz
ABRAXA	əˈbræksə
ABRAXA'S	əˈbræksəz
ABRAXAS	əˈbræksəz
ABREAST	əˈbrɛst
ABREGO	ɑːˈbrɛgoʊ
ABREU	əˈbruː
ABRIDGE	əˈbrɪdʒ
ABRIDGED	əˈbrɪdʒd
ABRIDGEMENT	əˈbrɪdʒmənt
ABRIDGES	əˈbrɪdʒəz
ABRIDGING	əˈbrɪdʒɪŋ
ABRIL	əˈbrɪl
ABROAD	əˈbrɔd
ABROGATE	ˈæbrəˌgeɪt
ABROGATED	ˈæbrəˌgeɪtɪd
ABROGATING	ˈæbrəˌgeɪtɪŋ
ABROGATION	ˌæbrəˈgeɪʃən
ABROL	əˈbroʊl
ABRON	əˈbrɑːn
ABRUPT	əˈbrʌpt
ABRUPTLY	əˈbrʌptli
ABRUPTNESS	əˈbrʌptnəs
ABRUTYN	ˈeɪbruːtɪn
ABRUZZESE	ɑːbruːtˈseɪzi
ABRUZZO	ɑːˈbruːzoʊ
ABS	ˈeɪˈbiːˈɛs, ˈæbz
ABSALOM	ˈæbsələm
ABSARAKA	æbˈsɑːrəkə
ABSCAM	ˈæbskæm
ABSCESS	ˈæbˌsɛs
ABSCOND	æbˈskɑːnd
ABSCONDED	æbˈskɑːndəd
ABSCONDING	æbˈskɑːndɪŋ
ABSCONDS	æbˈskɑːndz
ABSECON	ˈæbsəkɔn
ABSENCE	ˈæbsəns
ABSENCES	ˈæbsənsɪz
ABSENT	ˈæbsənt
ABSENTEE	ˌæbsənˈtiː
ABSENTEEISM	ˌæbsənˈtiːɪzəm
ABSENTEES	ˌæbsənˈtiːz
ABSENTIA	æbˈsɛnʃə
ABSHER	ˈæbʃɝ
ABSHIER	ˈæbʃiːɝ
ABSHIRE	ˈæbˌʃaɪr
ABSINTHE	ˈæbsɪnθ
ABSO	ˈæbsoʊ
ABSOLOM	ˈæbsələm
ABSOLUT	ˌæbsəˈluːt
ABSOLUT'S	ˌæbsəˈluːts
ABSOLUTE	ˈæbsəˌluːt
ABSOLUTELY	ˌæbsəˈluːtli
ABSOLUTENESS	ˈæbsəˌluːtnəs
ABSOLUTES	ˈæbsəˌluːts
ABSOLUTION	ˌæbsəˈluːʃən
ABSOLUTISM	ˈæbsəˌluːˌtɪzəm
ABSOLUTIST	æbsəˈluːtɪst
ABSOLVE	əbˈzɑːlv, æbˈzɑːlv
ABSOLVED	əbˈzɑːlvd, æbˈzɑːlvd
ABSOLVES	əbˈzɑːlvz, æbˈzɑːlvz
ABSOLVING	əbˈzɑːlvɪŋ, æbˈzɑːlvɪŋ
ABSORB	əbˈzɔrb
ABSORBED	əbˈzɔrbd
ABSORBENCY	əbˈzɔrbənsi
ABSORBENT	əbˈzɔrbənt
ABSORBER	əbˈzɔrbɝ
ABSORBERS	əbˈzɔrbɝz
ABSORBING	əbˈzɔrbɪŋ
ABSORBS	əbˈzɔrbz
ABSORPTION	əbˈzɔrpʃən, əbˈsɔrpʃən
ABSTAIN	əbˈsteɪn, æbˈsteɪn
ABSTAINED	əbˈsteɪnd, æbˈsteɪnd
ABSTAINING	əbˈsteɪnɪŋ, æbˈsteɪnɪŋ
ABSTENTION	əbˈstɛntʃən, æbˈstɛntʃən
ABSTENTIONS	əbˈstɛntʃənz, æbˈstɛntʃənz
ABSTINENCE	ˈæbstənəns
ABSTINENT	ˈæbstənənt
ABSTON	ˈæbstən
ABSTRACT	æbˈstrækt, ˈæbˌstrækt
ABSTRACTED	ˈæbˌstræktɪd
ABSTRACTION	æbˈstrækʃən
ABSTRACTIONS	æbˈstrækʃənz
ABSTRACTS	ˈæbstrækts
ABSTRUSE	əbˈstruːs
ABSURD	əbˈsɝːd
ABSURDIST	əbˈsɝːdɪst
ABSURDITIES	əbˈsɝːdətiːz
ABSURDITY	əbˈsɝːdəti
ABSURDLY	əbˈsɝːdli
ABT	ˈæbt, ˈeɪˈbiːˈtiː
ABTS	ˈæbts, ˈeɪˈbiːˈtiːz, ˈeɪˈbiːˈtiːˈɛs
ABU	ˈæbuː
ABUDRAHM	əˈbʌdrəm
ABUELLAH	əbˈwɛlə
ABUELLAH'S	əbˈwɛləz
ABULADZE	ˌæbjuːˈlædzi
ABUNDANCE	əˈbʌndəns
ABUNDANT	əˈbʌndənt
ABUNDANTLY	əˈbʌndəntli
ABURTO	əˈbʊrˌtoʊ
ABURTO'S	əˈbʊrˌtoʊz
ABUSE	əˈbjuːs, əˈbjuːz
ABUSED	əˈbjuːzd
ABUSER	əˈbjuːzɝ
ABUSERS	əˈbjuːzɝz
ABUSES	əˈbjuːsɪz, əˈbjuːzɪz
ABUSING	əˈbjuːzɪŋ
ABUSIVE	əˈbjuːsɪv
ABUT	əˈbʌt
ABUTS	əˈbʌts
ABUTTED	əˈbʌtəd
ABUTTING	əˈbʌtɪŋ
ABUZZ	əˈbʌz
ABYSMAL	əˈbɪzməl
ABYSMALLY	əˈbɪzməli
ABYSS	əˈbɪs
ABYSSINIA	æbˈsɪˌniːə
ABYSSINIAN	æbˈsɪˌniːən
ABZUG	ˈæbˌzəg, ˈæbˌzʊg
AC	ˈeɪˈsiː
ACA	ˈækə
ACACIA	əˈkeɪʃə
ACADEME	ˈækəˌdiːm
ACADEMIA	ˌækəˈdiːmiːə
ACADEMIC	ˌækəˈdɛmɪk
ACADEMICALLY	ˌækəˈdɛmɪkli
ACADEMICIAN	ˌækədəˈmɪʃən
ACADEMICIANS	ˌækədəˈmɪʃənz, əˌkædəˈmɪʃənz
ACADEMICS	ˌækəˈdɛmɪks
ACADEMIES	əˈkædəmiːz
ACADEMY	əˈkædəmi
ACADEMY'S	əˈkædəmiːz
ACADIA	əˈkeɪdiːə
ACAMPO	əˈkɑːmpoʊ
ACAMPORA	əˈkæmpɝə
ACAMPSIA	əˈkæmpsjə
ACANTHA	ɑːˈkɑːnðə
ACAPULCO	ˌækəˈpʊlkoʊ
ACARY	ˈækɝi
ACCARDI	ɑːˈkɑːrdi
ACCARDO	ɑːˈkɑːrdoʊ
ACCEDE	ækˈsiːd
ACCEDED	ækˈsiːdɪd
ACCEDES	ækˈsiːdz
ACCEDING	ækˈsiːdɪŋ
ACCEL	əkˈsɛl
ACCELERANT	ækˈsɛlɝənt
ACCELERANTS	ækˈsɛlɝənts
ACCELERATE	ækˈsɛlɝˌeɪt
ACCELERATED	ækˈsɛlɝˌeɪtɪd
ACCELERATES	ækˈsɛlɝˌeɪts
ACCELERATING	ækˈsɛlɝˌeɪtɪŋ
ACCELERATION	ˌækˌsɛlɝˈeɪʃən
ACCELERATOR	ækˈsɛlɝˌeɪtɝ
ACCELERATORS	ækˈsɛlɝˌeɪtɝz
ACCELEROMETER	ækˌsɛlɝˈɑːmətɝ
ACCELEROMETERS	ækˌsɛlɝˈɑːmətɝz
ACCENT	əkˈsɛnt, ˈækˌsɛnt
ACCENTED	ˈæksɛntɪd
ACCENTING	ˈæksɛntɪŋ
ACCENTS	ˈæksɛnts
ACCENTUATE	ækˈsɛntʃuːeɪt
ACCENTUATED	ækˈsɛntʃuːˌeɪtɪd
ACCENTUATES	ækˈsɛntʃuːˌeɪts
ACCENTUATING	ækˈsɛntʃuːˌeɪtɪŋ
ACCEPT	ækˈsɛpt, əkˈsɛpt
ACCEPTABILITY	əkˌsɛptəˈbɪləti
ACCEPTABLE	ækˈsɛptəbəl, əkˈsɛptəbəl
ACCEPTABLY	ækˈsɛptəbli, əkˈsɛptəbli
ACCEPTANCE	ækˈsɛptəns, əkˈsɛptəns
ACCEPTANCES	ækˈsɛptənsɪz
ACCEPTED	ækˈsɛptɪd
ACCEPTING	ækˈsɛptɪŋ, əkˈsɛptɪŋ
ACCEPTS	ækˈsɛpts
ACCESS	ˈækˌsɛs
ACCESSED	ˈækˌsɛst
ACCESSIBILITY	ˌæksɛsəˈbɪlɪti
ACCESSIBLE	ækˈsɛsəbəl
ACCESSING	ˈækˌsɛsɪŋ
ACCESSION	əkˈsɛʃən
ACCESSORIES	ækˈsɛsɝiːz
ACCESSORIZE	ækˈsɛsɝˌaɪz
ACCESSORIZED	ækˈsɛsɝˌaɪzd
ACCESSORY	ækˈsɛsɝi
ACCETTA	ɑːˈtʃɛtə
ACCIDENT	ˈæksədənt
ACCIDENT'S	ˈæksədənts
ACCIDENTAL	ˌæksəˈdɛntəl, ˌæksəˈdɛnəl
ACCIDENTALLY	ˌæksəˈdɛntəli, ˌæksəˈdɛnəli
ACCIDENTLY	ˈæksədəntli
ACCIDENTS	ˈæksədənts
ACCION	ˈætʃiːən
ACCIVAL	ˈæsɪˌvɑːl
ACCLAIM	əˈkleɪm
ACCLAIM'S	əˈkleɪmz
ACCLAIMED	əˈkleɪmd
ACCLAIMING	əˈkleɪmɪŋ
ACCLAIMS	əˈkleɪmz
ACCLAMATION	ˌækləˈmeɪʃən
ACCLIMATE	ˈækləˌmeɪt
ACCLIMATED	ˈækləˌmeɪtɪd
ACCLIMATION	ˌækləˈmeɪʃən
ACCO	ˈækoʊ
ACCOKEEK	ˈækoʊkiːk
ACCOLA	ɑːˈkoʊlə
ACCOLADE	ˈækəˌleɪd
ACCOLADES	ˈækəˌleɪdz
ACCOMANDO	ɑːkoʊˈmɑːndoʊ
ACCOMMODATE	əˈkɑːməˌdeɪt
ACCOMMODATED	əˈkɑːməˌdeɪtəd
ACCOMMODATES	əˈkɑːməˌdeɪts
ACCOMMODATING	əˈkɑːməˌdeɪtɪŋ
ACCOMMODATION	əˌkɑːməˈdeɪʃən
ACCOMMODATIONS	əˌkɑːməˈdeɪʃənz
ACCOMMODATIVE	əˈkɑːməˌdeɪtɪv
ACCOMPANIED	əˈkʌmpəniːd
ACCOMPANIES	əˈkʌmpəniːz
ACCOMPANIMENT	əˈkʌmpnɪmənt, əˈkʌmpniːmənt
ACCOMPANIMENTS	əˈkʌmpnɪmənts, əˈkʌmpniːmənts
ACCOMPANIST	əˈkʌmpənəst
ACCOMPANY	əˈkʌmpəni
ACCOMPANYING	əˈkʌmpəniːɪŋ
ACCOMPLI	ˌɑːˈkɑːmpli, əˈkɑːmpli
ACCOMPLICE	əˈkɑːmpləs
ACCOMPLICES	əˈkɑːmpləsəz
ACCOMPLISH	əˈkɑːmplɪʃ
ACCOMPLISHED	əˈkɑːmplɪʃt
ACCOMPLISHES	əˈkɑːmplɪʃɪz
ACCOMPLISHING	əˈkɑːmplɪʃɪŋ
ACCOMPLISHMENT	əˈkɑːmplɪʃmənt
ACCOMPLISHMENTS	əˈkɑːmplɪʃmənts
ACCOR	ˈæˌkɔr
ACCOR'S	ˈækɝz
ACCORD	əˈkɔrd
ACCORD'S	əˈkɔrdz
ACCORDANCE	əˈkɔrdəns
ACCORDED	əˈkɔrdɪd
ACCORDING	əˈkɔrdɪŋ
ACCORDINGLY	əˈkɔrdɪŋli
ACCORDION	əˈkɔrdiːən
ACCORDIONS	əˈkɔrdiːənz
ACCORDS	əˈkɔrdz
ACCOST	əˈkɔst
ACCOSTED	əˈkɑːstəd
ACCOSTING	əˈkɑːstɪŋ
ACCOUNT	əˈkaʊnt
ACCOUNT'S	əˈkaʊnts
ACCOUNTABILITY	əˈkaʊntəˌbɪlɪti
ACCOUNTABLE	əˈkaʊntəbəl
ACCOUNTANCY	əˈkaʊntəntˌsiː
ACCOUNTANT	əˈkaʊntənt
ACCOUNTANT'S	əˈkaʊntənts
ACCOUNTANTS	əˈkaʊntənts
ACCOUNTANTS'	əˈkaʊntənts
ACCOUNTED	əˈkaʊntɪd
ACCOUNTEMP	əˈkaʊnˌtɛmp
ACCOUNTEMPS	əˈkaʊnˌtɛmps
ACCOUNTING	əˈkaʊntɪŋ, əˈkaʊnɪŋ
ACCOUNTS	əˈkaʊnts
ACCOUTERMENT	əˈkuːtɝmənt
ACCOUTERMENTS	əˈkuːtɝmənts
ACCOUTREMENT	əˈkuːtɝmənt
ACCOUTREMENTS	əˈkuːtɝmənts
ACCRA	ˈɑːˌkrɑː
ACCREDIT	əˈkrɛˌdɪt
ACCREDITATION	əˌkrɛdəˈteɪʃən
ACCREDITATIONS	əˌkrɛdəˈteɪʃənz
ACCREDITED	əˈkrɛdɪtɪd
ACCREDITING	əˈkrɛdətɪŋ
ACCRETED	əˈkriːtɪd
ACCRETION	əˈkriːʃən
ACCRUAL	əˈkruːəl
ACCRUALS	əˈkruːəlz
ACCRUE	əˈkruː
ACCRUED	əˈkruːd
ACCRUES	əˈkruːz
ACCRUING	əˈkruːɪŋ
ACCU	ˈækjuː
ACCUHEALTH	ˈækjuːˌhɛlθ
ACCUMULATE	əˈkjuːmjəˌleɪt
ACCUMULATED	əˈkjuːmjəˌleɪtɪd
ACCUMULATES	əˈkjuːmjəˌleɪts
ACCUMULATING	əˈkjuːmjəˌleɪtɪŋ
ACCUMULATION	əˌkjuːmjəˈleɪʃən
ACCUMULATIONS	əˌkjuːmjəˈleɪʃənz
ACCUMULATIVE	əˈkjuːmjəˌleɪtɪv
ACCUMULATIVELY	əˈkjuːmjəˌleɪtɪvli, əˈkjuːmjələˌtɪvli
ACCUMULATOR	əˈkjuːmjəˌleɪtɝ
ACCUMULATORS	əˈkjuːmjəˌleɪtɝz
ACCURACIES	ˈækjɝəsiːz
ACCURACY	ˈækjɝəsi
ACCURATE	ˈækjɝət
ACCURATELY	ˈækjɝətli
ACCURAY	ˈækjɝˌeɪ
